state,zipcode,purchases,sex,golf,travel,fashion,outdoors,technology,economic class,offer,exposure id
CA,55532,12205.24,M,0,1,0,0,0,Working,RedMouse,b'\xe3\xa1\x85\x97\xd3\x1b%\xac\xccN\xfa\x0e\xff+;(\xf2Dq.1\x85\xca\x9c\xc6\x145\x976\xdd\xd0$'
ID,95873,7766.94,M,0,0,1,0,0,Destitute,GreenLemur,b'o\x9b\x9fO\x8e\xbf\x140\xddb.\t<\x0c\x8d\x15\xf9\x17W\xd7\xdc\xf46\\u\xae\xb9\xa3\xf52\xc9\x13'
MP,7071,2839.39,M,0,1,1,0,0,Middle,BlueElephant,"b'\xc3\xf2e|8\xd2\x86\xd6\xf5\xa2\xfa\xd8\xdfbGM\x02\x156\x03\xf3(C,z\xe67A\xabS\xf9\xbd'"
ND,40618,11461.98,M,0,0,0,0,0,Poor,GreenLemur,b'z\x12\xc1 \xb7\xdb\xf39X\xfa)\xf5C%\xcd\xee\xb3\xf7\xfe\x99\xbd*\xa8\x15\xce\xc1\xaaJL\x99\xb2\x08'
AL,74110,7818.49,F,1,1,0,0,0,Poor,YellowSeal,"b""'\xc4\xf0\t\x10]g\xed~\xec\xa8,\xbc\xf0x\xa6\xab\xfbA\xfdQLdK\x8f\xff\xd0m\x92\x18\xdb\x13"""
WV,36466,4140.43,F,0,1,1,0,0,Affluent,BlueElephant,b'\xba\xa8\xc2\xa4\xb89\xd4\xba\xed\xb0\xc0\xf8\x93(\xb4WM1\xdb\xdaL\xc3d\xbby\x02c&\xb6\x0f\x87g'
NM,27261,8078.66,F,0,0,0,0,0,Middle,YellowSeal,b'\xd5\x01\x80\xcb\xf4F\x14)\n\xb3\xa6\xc4n\xb18\x9f\xa8\xcdc\xc5t7\xff\xc4]\xfd$\x06\xd5\x97\xac\x1e'
MD,9207,14555.85,F,0,0,1,0,0,Poor,RedMouse,b'fO\x10B4\xbc\x90\xad\xcc\xe9i\xb7b\x05*\x00U\tu\xae\xeb*\xc9\xb4\x07\\\xf4\x94\x14@\x9c\xc5'
WI,26393,8429.66,M,0,0,0,0,0,Middle,BlueElephant,b'\xb3\xe7\xd5;\xdd\xd5R>\x80pF(op]::\xbd\x82~>?K\xbapg\xa7g`\xa1\x85?'
AZ,83076,8015.53,F,0,0,1,1,0,Middle,BlueElephant,"b'\xc3\xf3~^""\x05W|\xe4\xc9\xb7E\x83\xe3\xdcpcI\xc0\xe5\\\xfdG\xab\xa8\x9a\x00\xa8\xc4\xfa\xa2\xb5'"
WA,74043,3889.56,F,0,1,0,0,0,Working,RedMouse,b'\xca\xbbQ\xa2<P\x92]\xaf\xe3\x86\x87\xe0\x8a?SL\xb8=w\xf6\x19\xdf\xf2^\x8eY\x9c\xd8\x9eJN'
SC,66235,4644.33,F,0,1,0,0,0,Poor,RedMouse,"b'q\x0cy\x84v;\x9b&\xdd(o4l\x19\xd4\xc4\x9fK\xe7\x04+,UU`\xed\xf9z\n+\xe0\x8e'"
DC,9660,3959.01,M,0,1,0,0,0,Middle,PurpleBear,b'\x08?\x80*\x17\xe2\x89\xe8\xf3\xa5\xe4\x93\x9b\xe3\xde\xaac\xa2@\xeeSr\x19\xc2\xc7\x87\x12\x9a\xc6\x83\xbb\x0f'
WA,82425,1235.5,F,0,1,0,0,0,Middle,PurpleBear,b'K\xe4\x08\x93\xb3\x83\xc3\x12\xda\x06wi\x01nM\xb2\x98\xe9\x05\xab\x99\xa0D\x95k\x0b-m\x8a\x1b\x93}'
NE,46294,1790.81,M,0,0,0,1,0,Middle,YellowSeal,b'O\x95\xab\x9c\xad\xfe\xfc\xc8\xd1\xcd\tJ\xc2<\xeb\x15d$!\xce\xb5==\x9b\x06\xf2*\x87|\xdcA\xdf'
AR,33586,7475.99,F,0,0,1,0,0,Poor,PurpleBear,b'\x88\xbe/\xe4\x18\xc8e\x82a\xb4\x14\xc2a\x8c\x9b\xbd\xc7T\xc4\xca\xef\x9c\xf5\x19\xa3\xfcjr\x90\x8f}='
RI,97522,2103.62,F,1,0,1,1,1,Affluent,PurpleBear,b'\x97\x0ePZ\x06KS\xe0\x95\xe0\x1a\xf0S]Q\xc1YQ6\x9a\xc6\xf9\x92?\x1c\xc6\xc5\x97\xfa\xed\xb7c'
AK,89294,9400.48,M,0,1,1,1,0,Poor,BlueElephant,b'R\x9a\xd9\xa3\x8e/J\x89\xe3\x97J\x1b\x9ck\xff\xde\x99\xa56j\xad\xee\x86AA5\xa2\xcf\xf3\xcd]\xe0'
NC,22026,13548.7,M,0,0,0,0,0,Affluent,YellowSeal,b'c?\x16\xb9\x1a\xb1\xb8\xbc\x83\xb2\x0b\xaet&>a[#\xfb\xe3<\r\xea3i\x1c\xcf\xc9sHo>'
SD,62447,12317.37,M,0,1,0,1,0,Poor,GreenLemur,b'\x11\xa2\xaf\xa3\xc3\x06\xdf%pto\xd6\x81[2\xceo\x88$3p-\x03R\x8a\xde\x8d\x0bfd.\xe4'
VI,62432,12923.56,F,0,0,0,0,1,Affluent,PurpleBear,b'Z*\x14;\xd9\xb7\x126b\xef\xd7\x14t\xc0\xe8\x16?\xf2\xe0ty\x81s\x15\xde\x84N=\xa1^\x19;'
VI,56111,14437.5,M,0,0,0,0,0,Middle,PurpleBear,"b""\xf5t\x1e\xef\xcf\xe1\xee\x9bfuf\xe2\xe1\xc8\x1f\xbf\xa5!\xc7\x9b\xf6\xdb!'\xc8\xd6p=cV\xb6\x9d"""
LA,52941,2275.25,F,0,1,1,0,0,Working,RedMouse,b'_\xa8\xe4\xc5\x80\xe3\x08c\xb8\xb4\x01\x14\x08\xb8\x1eD\x97H0C\x7f\xe5\xd8\xad)\x10\xf9l\x0cGq\xa8'
GA,23497,421.31,M,1,0,1,0,0,Affluent,GreenLemur,b'\xe2\xef\x1f.\x18\xa6&\xbbG\xa5\xd2\xc9\xba\xb8~~\xd2\x17\xfa\xf4\x0b\xe8\xba\x9f#\xa6x\xc4\xbbg\xf6\x1a'
MD,36703,12236.94,F,0,1,0,0,0,Affluent,YellowSeal,"b'\xdb\x86\x9f\x836\xad\x18\x1c\xae\x85il\x99\x98\x8f/\x12,+\xd0\x8c[\xa78\x12\r\xf2\xbd\x91\x18|\x87'"
ME,82387,666.19,F,0,0,0,1,0,Affluent,BlueElephant,b'\xd1~\xeem\x11\x9d`\xfd\xec\x1d\xedf\xb6\x96Ynv\xce)\xba\x12\x97\xe5F\x06?=\xd46)\xfe\x95'
NC,60840,6916.75,F,0,1,0,0,0,Affluent,RedMouse,"b'\xdc\xf7\xb3\xa7\xf0\xc8\xa9\xe8\'Z\xa5n\x9fv\x13M#b\n\xf6\x01\x1e\xb2\x1c""!\x15\x9e\xe6\x0b<n'"
AL,30246,12002.51,M,0,1,1,0,0,Middle,GreenLemur,b'\x18\x8c6\tFl-6:\x1a\xb5\xddt=a@\xe2Q\x9cb\x9f\xd8D\x93\xe1\xea\x19b\x97\xb3\x89\x7f'
AL,46397,12794.23,F,0,1,0,1,0,Poor,PurpleBear,"b'SI\xe9M\x86\x034Kpb%\xe4\xe5\xb9w\tM\x13""\xa9\x90\x00S4W:\xdb\xc4&\xc0\xcdS'"
NC,26244,5294.76,F,0,1,0,1,1,Affluent,RedMouse,b'^u\xe7\x9dTBr\x98<DT\xadz\x18\xec\x9c.\xf2f\x15\xc1\x0co\xbd\x93\xb1+\xdb\xa0Vw\x13'
VA,19553,7312.12,M,1,0,1,0,0,Affluent,GreenLemur,b'V\x06}Ed6Gm\x9aO\xfb\x133\xa5\x01N\\\xad\x83s\xb2Z\xeca\xcc\xb5UX\xdc<\xe8\xf2'
IL,81109,1754.73,F,1,0,0,0,1,Middle,PurpleBear,b'\xeed\x92\xa4\xc2\xb5\x047\xc9\xca\xd9\x9dJ\xd1\xf6\xd9\x08Z\xbc\xe6|\x08\xd8\x06\xb2I\x92c\xf4\xef\x96\xa5'
MO,52218,6444.11,M,0,0,0,1,0,Middle,PurpleBear,b'\x8e\xe8P\x0b\x16\x84\rn\xac(O.i\x11\x1a\xa8b\xf8T}\xeeF\xf9\xb3\x8d\x81k\x8d%\x1fCw'
MA,49453,9539.12,F,0,0,1,0,0,Affluent,RedMouse,b'T\xf5\x00\xb6\xbd2$t\xdd\x19\xb7Cl)\xd9$T>\x1d1|R\xbe\x9c\x90N\xd7\xd6\xac~E\x8a'
MS,24932,9560.57,M,0,1,0,0,0,Working,GreenLemur,b'lk&\x81\x85\xa3\xde\x0c\xba\n\x00y\xfc\xa9E\xb9]\xf7B)\xc4\x14%\x03ia\xc8\xb7Zt>Z'
MO,40897,6014.09,M,0,0,0,0,0,Affluent,PurpleBear,b'\x0eC\xcf\xca\xa79\xfa\xbbH\x96\x9b\x817\xe2\xfdV\xad8\x80\xe7R1\x12\xe6\x1bO\x89\xc9\xedJsA'
LA,54096,5964.39,M,0,1,0,0,0,Working,RedMouse,b'\x8f\x14U\x99w?F\x90\xe5\xe7w\xb0\xad\xc0\x0b\xc3\xbb]\r\x07\x90\x9d\x8d\xf2w\xba3\xe4C\xe2\xaa\x7f'
KY,63642,8126.17,M,1,0,0,1,0,Working,BlueElephant,"b'x\x16\x15;6\x88$3\xc0\xf2\xdc\xd0\x0e\'\xb4\xb5\xfae""\xf2\xfa\xfc\x89\xec\xe9\xb5\xf4;\xcb?\x9a*'"
NY,24997,14345.38,F,0,0,1,0,0,Middle,BlueElephant,b'\xdfG\xf1\x98\x11@\x13\xa0i\x94\x03\xb6ER\xa0\xc4\xe4\xb3\xd2\x86\x06\\\x864y[\xd9X\x8c(\xe6\xab'
MD,4859,6121.7,M,0,0,1,1,0,Affluent,GreenLemur,b'\xe2_\xf9\xe9\xb8\x9e\xc1b\xd1\xac\xd8\xadc\xfa\xa5cg\x07\xe9\xa3Y\xd3h\xb0\x1e\xf7E[\xb0\xd3Vb'
MA,40543,3859.23,M,0,0,1,0,1,Affluent,BlueElephant,b'=k+\x8dl\xb6\x86\x08\x17[\xbd\x02\xa2\x1e6\xb9\xc8e\x0e\xbbv\x18\xf0\xa1q\xebY1\xf9\x8dK\x82'
MH,91612,1292.04,M,0,0,0,0,1,Middle,YellowSeal,b'\x0c\xfcw\x10Q\xff}5\x8d\xb8\x1c\x10\x16\xeaM\xe4\xae\xff\xd5^\xc3\xfdaO`\xbe\xf02z\xf2\x80e'
RI,31775,8576.12,M,0,0,0,0,0,Poor,BlueElephant,"b'\xa8\xa4\xf7\xc5\x07\xc0\x8ds?5\xb8$\xe5\xe19b@,%e\x8e\xce39b\x1b\xe4\x14/\xce[\xdd'"
ID,86752,8333.66,F,0,1,0,0,0,Affluent,BlueElephant,b'D\x98n\x8bz\xc1\x91\x1e\x90\x15fP/\x94\x88\xddyo\x1fD\xe4\n\xf8dC6\xd61\xd0\xc8\x0f\x15'
IA,61927,1778.18,M,0,0,0,0,0,Affluent,PurpleBear,b'\xf7\x135\x04\xde8\xd1\xae-\xdaZ\x8c]\x89\xf5\x1b\xaf\xc2\x010>\x89d\xf5\x88\x001 \xcb\xe4Ji'
GA,38111,14844.39,F,1,0,0,0,0,Middle,BlueElephant,b'\x17\xdf\xdc\x00s6\xb6\xd4\x92K!\x9cx\x9b\x18\xd66hf?*q\xaa\xdd{\x18\x95$_<^\t'
MA,13507,8852.68,M,0,0,0,0,0,Affluent,PurpleBear,b'\xc5:U01\xe8\x0c\xd1\xe3Y<\xcf\x1d\xd9/\xf7r\xe2\xfe\xbf\xdf\x9fm\xef]\xd9\xd6\xac\x11:\xea\xe4'
NV,89920,14267.94,M,0,0,0,0,1,Middle,PurpleBear,b'\xdb\xcd\x8a\xcav\xf5RAn}\xf1E\xc5\xdb\x8e\xc4\xf0\x02#B\xbe\x8e0\xff\x98@\xbf\x1b2\x9c<l'
AR,53062,3475.6,M,0,0,0,0,0,Middle,GreenLemur,b'F\xddd\x02\xa6\x84\xf3\xbf\xd9\x11\x1a\xec\xc6\n\x13\x00\xb1\xb5\x07\x92[\x12\x08\xcb\x86\xb6\xc8\xd4G]\xf5l'
LA,40210,9104.12,F,0,1,0,0,0,Affluent,YellowSeal,b'@\x1e\x99\x0c|IN\xf6GC\x98S\xe4\xdf\xc0\x0b\x17\x04\xdd)0\xda\x01\xb40\xf6\x1d\xd1w\xbd\xeb\xf6'
KY,38502,3495.02,M,0,1,1,1,0,Affluent,PurpleBear,b'\xb2\x13\xde\\\x1aK\xad\xe0p;s\xd9\xbah\xcf\xa3U\xe0\xb1*\xca\x9e\xcf\x1c\xfc\xaa/9-\xce}\xc1'
IA,25582,4304.87,F,0,0,0,0,0,Middle,BlueElephant,b'3T\xe3\x9c\x01\x17\xdc\x05Pf3\t\xf1k\x14\x8a\xbd5\xa3\xde\xab\xef1\x13\x15\xd6\x10\xd3h\xeb8y'
MO,79288,5185.33,F,0,0,0,0,0,Affluent,GreenLemur,b'\xaa\x01\xb0mV\xc2\x95UL|2`\xbd\xff\xf4z(\n\xcf\xbe\x12\x17c\x03\xaeqi\x9f@\x81X '
MO,48705,12102.73,F,0,0,0,1,0,Poor,YellowSeal,b'w\xca\xf0\xba\xaeFq\xb6\x96\xc6O\xfa\x9a\xcf\xed\xc2\x14Ni\x9cD\xe7\xd5W\xbe|\xa3a\x08\x94\xb2\xef'
MA,77340,12856.74,M,0,0,0,0,0,Working,GreenLemur,"b'-2d\xce0\xa7\x99\x8e\xc1C\xe0K\xcfms-\xe7\xa7\x14\xc9\\)\xf6\t\xd9\x13$1\x10a\xad""'"
UT,34072,8456.98,F,0,0,1,1,0,Working,GreenLemur,"b'\xa2J\xe3a\xc1\xeb\xed\xc7</\xc1\xfa~-\xd3!v#\x15\x84N\xdf\xb8,\xeeR*\xb8\x02J/\x92'"
MS,89026,8527.96,F,0,0,0,0,0,Working,RedMouse,b'\x1c\x9fe0\xe0g\x05\x99\xc4\x0f\x97\xce\x8dTp\x9b\xf8\xa2&\xb4\xd6\x0e\x02\xd1!\xce\xc7\xe2\t\xb1\xbdS'
CO,18736,3086.78,F,0,1,0,0,0,Working,BlueElephant,"b'\xa7\x89\x0e\xc9^\xe1\xc4Nw\r\x97\x13z\xd6\x8b\xa8\x1ed\x9b,3\xf3\xcf\xa6\xf8\xc0\x0b\x9f\xb9\xd2!\x0e'"
CT,2864,9316.45,M,0,1,0,0,0,Middle,RedMouse,b'\xeb\x96sE)\x9b\xf74\xe8\xc2f\x13\xb1\xe1Y\x1d\xc6\x13t7\xd7\x95\xd3\x9b\xc0\x97\xe9B\xef\xc5\xa5\xd6'
FL,2727,6146.4,F,0,0,0,0,0,Working,PurpleBear,b'\xfd\xea\x16\x803\x0c\\\x93&\xa1[\t\x90&g\xd0\xeekw~\xc9q\x1c\x0c&\x139G?Y\x97\x0f'
KY,24945,2039.96,M,0,0,0,0,1,Middle,GreenLemur,b'\xec\xa76\x00\xd0p_\xb1\xac\xe7\x80\xd1\xc07\xb2\xba\xa1j\x07^o\x16\xc5\x17\x06P\xcf\x91\x8cQ\xf8\x1a'
ME,31286,2405.99,F,0,1,0,0,0,Working,RedMouse,b'\xc3-\xc8\xac\x8cu\xd7\xaf\xd0\xe6\xdb\xfc\xe0\xff\xb1\x7fE\x08\xd9WcY\x1d\x84\x80\xa2\x88\x0f\n\xa2\xe2\xa9'
AK,78653,10842.62,F,1,0,1,0,0,Destitute,GreenLemur,"b""\xd2\x8d>e\xa7\xbe\xfb\x91_\xfa9N\x12\xc5\xdfW\xa7\xa6S\xcd`pU\x10\x81\xdb\xb7L\x1c\xdc'\xcd"""
PA,73503,13632.2,M,0,0,0,1,0,Middle,RedMouse,b'o\x01]C\x1b\xa65$J\x0cs\x9f\xa8\xfe[\xb1\xa6\x0e\xf3\x88:\xbb\xca\xa7\xf1\x9ft\xcdK\r\xf3\xda'
LA,40273,12353.89,F,0,0,0,1,0,Affluent,GreenLemur,"b'\xe6\x9f\xfb>D\xff\xe1jM\xc2\xda\x0fZR\xdfKn\x1c\xa5dU,]\tO]cz\x80\xbe\x94*'"
TN,80270,416.2,F,0,0,0,1,0,Poor,PurpleBear,b'pkS\xe8l)E\x19\x14N\xc9Z\xf6\xb7\xdc\r\xb3\xe2C\x117T{\xe3\x06M\x06F\xc1J\x93u'
CA,82942,13007.61,F,0,0,0,1,0,Middle,PurpleBear,b'\xbd\xdb \xe6\xfa!h4\xd5\xdb3F\xcc\xa0c\xb0\x16S\x06\xe5\xba7\x8b\x7f:\x80\xe5\xc7\xb0p7\xe7'
MD,70668,12161.93,F,0,1,0,0,0,Middle,YellowSeal,b'\xdfw\xfd\x0cm\xfd\xbc\xfc[\r#\x08@\xb0\xaf\xca\r\xe3\xfb\xb1\xf3\xc2-\x06\x8b\xfc\x80\xf5:1\xcd#'
NV,11191,8912.69,M,0,1,0,0,0,Middle,GreenLemur,b'\xc4\x04%7\xc9\x14\xccx\x18%\xef%\xcc\x17n\x1f\x80\xa1\x0et3\xbeZ\x94\x05\x8cv\xe2\xc9\xc0\xa8\xd4'
AS,59460,5330.01,F,0,0,0,0,0,Middle,GreenLemur,"b""\xd7G'\x888@\xb1\x14?\xddM\x1d\xf4\xbe\xf2\xb2\xef\x9d\x8cL\x9a\xaf\x81\xa4jn\x82\xe4k\xa5^1"""
MP,83070,9027.34,F,0,1,1,0,0,Poor,BlueElephant,b'Q\x15\x80\xd4\xc4\xa4\xe3\xb1\x88\xcfZ\x95c\xd12\x98\xf0\x1d?`*\x9e\xcf@\x1ba\x95\x19\xa4\x07\x0b\x94'
WI,69621,7177.88,F,0,0,0,0,0,Working,GreenLemur,"b'\xa8,b\xcea\x1f\x84\xa6QQM\\Xvp\t{\xeb\xb1\xae\x89\x8a\xec\x05m\x17c\xe1o\xb3\xcd\x04'"
TN,99333,105.06,F,0,0,1,1,0,Affluent,GreenLemur,b'\xf4g\xbb\x86m\x9a\xbb\xce\xc3\x05lbF\xddk\xed\xf6\xcf\x0bw\xf1\t\x95X*d\x7f_\xbe3d\xa2'
NV,95315,3776.49,F,0,1,1,0,0,Poor,BlueElephant,b'\xa8\x90\x9b\xf5B\xa4]z\x9f\x94^\x8bm\x1c\xb4\x853W\xb5\x02_dS\x98\xb3\x83\x1f\xf1\xad\xa8h\x00'
AR,28749,9784.65,M,0,1,1,0,0,Middle,BlueElephant,b'P\xcc\x1b\x81\x84&8\xc3\xe2\xc2\xc6&\x03FM\xc6\xbb\xdc\x14\xf8@D\n\xf9j6E\xbae\x11\x8a0'
IL,75200,7907.5,M,1,1,0,0,0,Affluent,BlueElephant,"b'_R\x02\x88&3\x0frh\xac\x8b<\xa3\x05\xe2\x1e\xee_5z\x14rU\xdf""\x9d\x90\xe6\x91\xe6\x06J'"
OR,73355,9445.65,M,0,0,1,0,0,Poor,PurpleBear,b'\xd1\xef\xa9`K3\xf7\x87\xb2\\\xa9\xc3\xb8D_3\xe9\xbcCL\xf9\xb4\x82\xca_)\xa2\x1f\xcb\xbe\xff\xe0'
NE,23798,9265.91,F,0,0,0,0,0,Middle,RedMouse,b'\xfb*\x15\xcc\xeb\xa9m\xa0\xb5\x96\xb5$\xd2\xcar\x976\x9b\xce\x9e\xa7wx\x0c0f\xeeqw\xad\xa1.'
ME,63776,14111.53,M,0,0,0,0,0,Working,BlueElephant,b'\xfb?OA\x9a\xb7\x07hc\x97\xa6\x9fS\xec{\xac\xc1\xccF\x8c\xf9\xf8n\xafl\x81M|/i\xcax'
NV,18170,2286.78,M,0,0,0,1,0,Working,YellowSeal,b'\x19\xc0\xc3\x95|\x9c\x0e\xbd\xf7\xee\x15Q\xa5\x11C\x11A5\x89_\xd9C\xe4\x8a\x99Hy\xec)J\xbc\x14'
VI,71905,14232.64,F,0,0,0,0,0,Poor,GreenLemur,b'\xees$~\xd96o\x1e\x9f\x9an.J\x9e\xe1W\xc0\xaeo(\x12\x90\x8f\xc1\xb4|\xc9U\x95l\xe4\xd4'
LA,85760,2470.91,M,0,1,1,0,0,Working,PurpleBear,"b'z\x18S\xb4OeX<\xb7\xa0-\xda\xee\xe3]e\xa5""w_\x08\xe8&\x13\xabF\x03mP\xaa4\xc8'"
PW,46619,4701.08,F,0,1,1,1,0,Affluent,BlueElephant,"b""\xd3\x89U\xe0\x8c'\xd5\xccJ\x92\xe3\xe1\x9f\xcf\x95r,\xbcs\xbc\xa4\xf5\xe3\x91\xc5\xda=\xa8\xfb\x05E\x16"""
MA,18883,3355.47,M,0,0,1,0,0,Working,BlueElephant,b'\xc9\xf0\xd9\x1b\xbe\xda\x18\x03\xe0Zz\xb50\xdfWH\x95\x89\x05\xc48jFN\t\xd1NV\xda\xa4\xca\xac'
CT,82105,8679.74,F,0,0,0,1,0,Middle,YellowSeal,"b'2Q\xe0\xf5,\x05\x8cft\xdb\xb7\xbd\t\x05$#\x81\x90\xfe\xe21\xca\xca\xc4\xd8\xd8\xd9\x92\xa3\xb2\x8b '"
AK,2902,8699.42,F,1,0,0,0,0,Affluent,RedMouse,b'\x80k\\U\x0b\xa99\xe5\x9b+eH\x10#\xc4j\x84\xcax\x12}\x1a[aC\xa6\xfdc\xf5g\xea\xea'
MA,92200,14104.64,F,0,0,0,1,0,Working,RedMouse,"b';\\j\xde\x84E\xed\xc8\xefD\x10zM\\\x16\xa9\xce+:\n\x07\xb6\xd5\xc4g\xbd,\xfb\xe0\xb6R\x87'"
NE,14122,7331.15,F,1,0,1,0,0,Affluent,YellowSeal,"b""\x1f\xa7$\xa9E\x12\x8d\xdfu\x04\xf0\x1a\x19\x19\x8a\x16\xe5_\xd3t\xaaA\xd4\xde'-I\xa0\xe7\xe1\x93\x19"""
LA,33897,12881.7,F,0,0,1,1,1,Affluent,RedMouse,b'wt\x95(V1\xf7?\xdc\xd2\x9b!\xe8}<*=\xdd)\x1f(fF\x16\x9a\x05\xcb\xde\xb3\xd3\x8d)'
KS,7634,8136.87,M,0,1,1,0,0,Middle,PurpleBear,"b'\x9f\x92\xe8\xc7\xf5\x0b\xb7l\x9a/|\x0f_\xfa\x82\xeb\x02\x82\x0e\xc3\x04,M""\xa1\x13rECW\xe1%'"
FL,23877,14294.55,F,1,1,0,0,0,Affluent,GreenLemur,b'\xb9\x9bu\xf05G\xa8\xbc\x9b\x9f/l\xd4X\x93\x9d\xcb\xe5c\xf9i\xd8\xb3\x08?\xdfz\xbb\x07Ht%'
NV,7068,8949.72,F,0,1,0,0,0,Poor,BlueElephant,b'6\xf9\xa5\xc3\xda\x88\x03cj\xac\xf4\x88ns\x0f\xc4\xd97\x0b\xbc\xbf^\x18\x07\x07 d\xa3\xc7\nb]'
VT,15049,14551.45,M,1,1,0,1,0,Affluent,YellowSeal,b'\xd3\x13\xfc\x85\xdd?\xd3\x13<P\x92\xd7K\xa5\x9e\x8a\xe5\xe6~hM\x14?\xe4\x81\xab\xd0A\xf2\xed;\n'
IN,30110,1014.39,M,0,1,1,1,1,Affluent,PurpleBear,b'\xa26\x12\x83G\xd4\xa7\x15e\xd0\xae\xb4\xbd\xdd\xca^\x18H\x95W\x1e\xb7\x8a\xfa\x0f\x99\xe0u\x04S\x94='
VA,20997,8987.17,F,0,1,0,0,0,Middle,RedMouse,b'\xe6\xb6+\xb1\xd8yX\xb6\xb6 \xbf\xa3\xde\xd1q\x0c\xb7\x93(\x9a\x0e\xa7\xfa\x86B)\x11D\xbe\x958;'
MO,35416,2207.1,F,0,1,1,0,1,Affluent,GreenLemur,b'\xad}e \x9c\xb4\xd2\xce\xa0\xd0m\x01Q\xc9\xfeF%\x81\xbd\xa5F&\xf43\x0c\xee\x1bi\x9a\xf0\x14\xcf'
IA,72885,6103.65,M,0,0,1,0,0,Affluent,PurpleBear,"b'\xa5=\xca]\xa6\xc7\xb8_z}\x96\x037\xda\xb7Ri\xfbb\x1an\xe7\xb5""H\xa9\xb2\\h\xdb\rL'"
RI,31457,14219.93,M,0,0,0,1,0,Poor,BlueElephant,b'%c\xf3U.iX`\xfb\x9c\xae\xaf!c\xfd\x83\x88\x13pr\x96V\xf4\xd2D\xc1\x9d\xb6hi\x83\xa8'
PR,13068,8958.72,M,0,1,0,0,0,Middle,YellowSeal,b'\xa0j\x86\xfa?\x80W\xab\xd0\x86\xa8\xa5\xa7\xa7=#Xn\x16\xa8=\x1d\xa4\xab\xdf\xbc\x0fq\x95\x7frL'
SD,29024,7351.02,F,0,0,1,0,0,Middle,BlueElephant,b'\xdc\x06\x04W\xa3\xddb\xa9\xc8\x80j\xead.\xa5\xfaY\xa8\x04\xb4\x12Z\xba\x0fA\xd6\x17\x04zt\x11\x00'
WY,2200,10218.69,F,0,1,0,0,0,Working,GreenLemur,b'\xdd\xb00\x95\x07\xd10`\x08Gr\x1b\xdbF\x9b\\O#\x8f\x96T\x08Q\x93C\x04\r\xcdO\xe5)l'
ND,95030,7273.3,F,0,0,0,1,0,Working,RedMouse,b'\xf0wp\xe0+\x06]\xdfjoe~\xc6\x9d\xd6\xefb)o\x92@4\x8cz\x05\xe8\xd6\x94\xe3#\xeb\x0c'
MT,98562,3447.98,F,0,0,0,1,0,Affluent,YellowSeal,b'\xcf\xeca\xbapj\x088\xcc7\xb8\x0c\x84\x91\x1dtI\xc0\xa4\xa41l\xfc<m/\xd95\xa1\x97\xf3\x84'
